,Fire_Year,Agg_Smoke_Estimate,Smoke_Estimate
0,1964,3.7677112962601385,0.020476691827500754
1,1965,70.48044611487894,0.3830459027982551
2,1966,0.8118700184200615,0.004412337056630769
3,1967,20.25848054173339,0.11010043772681191
4,1968,1.7404725935718277,0.009459090182455585
5,1969,2.2769720837903122,0.012374848281469088
6,1970,1.194807974270502,0.006493521599296207
7,1971,257.3316891814668,1.398541789029711
8,1972,2.8688260748555194,0.015591446058997389
9,1973,2.368199283007024,0.012870648277212089
10,1974,23.6770001392683,0.12867934858297989
11,1975,8.509144630547345,0.0462453512529747
12,1976,126.5542969160164,0.6877950919348718
13,1977,6.890993983135869,0.0374510542561732
14,1978,20.70392365327045,0.1125213242025568
15,1979,5.737048041200735,0.031179608919569213
16,1980,998.9869662830449,5.429276990668723
17,1981,7.113094043312459,0.038658119800611186
18,1982,17.89080765215726,0.09723265028346337
19,1983,117.38953636961627,0.6379866107044362
20,1984,137.6210436164052,0.7479404544369848
21,1985,192.7046535269667,1.0473078996030798
22,1986,904.0595316973964,4.913367020094546
23,1987,7027.072603118751,38.190611973471476
24,1988,2064.0487623239783,11.217656316978143
25,1989,689.2275185244906,3.7458017311113623
26,1990,1528.5964919693738,8.307589630268335
27,1991,3715.311247424623,20.19190895339469
28,1992,203.16563269511704,1.1041610472560708
29,1993,229.95435015135146,1.2497519029964754
30,1994,1230.0095338429492,6.684834423059506
31,1995,1045.8915671391903,5.684193299669513
32,1996,906.1809165817461,4.92489628577036
33,1997,76.03510073151924,0.4132342431060828
34,1998,828.2773611593483,4.501507397605153
35,1999,1757.2373404178343,9.550202937053447
36,2000,1899.0872137473702,10.32112616167049
37,2001,1441.1879702696604,7.832543316682937
38,2002,1147.8987398237948,6.238580107738016
39,2003,2525.2158919366166,13.723999412699003
40,2004,1261.5757364073584,6.856389871779122
41,2005,1906.7455429585075,10.362747516078844
42,2006,2961.12967771641,16.093096074545706
43,2007,5403.916721234944,29.369112615407303
44,2008,1685.1438174083735,9.15839031200203
45,2009,2396.4774972413984,13.024334224138034
46,2010,3110.2951165133322,16.903777807137676
47,2011,7530.573723572816,40.927031106373995
48,2012,3889.3588995970686,21.137820106505806
49,2013,1570.1419852798483,8.533380354781784
50,2014,6420.254103059267,34.89268534271341
51,2015,6198.659729213398,33.68836809355108
52,2016,7795.435685125049,42.36649828872309
53,2017,8691.012305554037,47.23376253018498
54,2018,5601.88016454596,30.44500089427152
55,2019,3709.7224525471343,20.161535068190947
56,2020,464.46180017925735,2.524248914017703
